abstract,paper
"To understand computational thinking in App Inventor, it is important to be able to effectively evaluate computational complexity in block-based programming languages. In the past, there have been a handful of complexity measures proposed for text-based languages (Weyuker, 1988). In this paper, we will attempt to implement 2 such measures, Halstead?s Programming Effort and statement count, in App Inventor on a dataset of projects from 50 random users. The goal is to determine whether or not text programming standards for complexity can be generalized to block programming languages. This paper shows that the 2 complexity measures we implemented are not adequate measures for complexity in App Inventor. This result indicates a need for different measures of complexity that more accurately portray block programming proficiency. We hope this study will be a gateway into a better understanding of the intricacies of App Inventor?s block programming language and its unique contributions to the development of computational thinking.",Evaluations of Programming Complexity in App Inventor
"This paper presents the results of a preliminary investigation into how the teaching of computational thinking -- particularly algorithmic thinking and programming -- to university undergraduate students varies depending on aptitude and perceived enjoyment of STEM subjects during their secondary-level (pre-university) education. We investigated a specific component of computational thinking, algorithmic thinking, comparing against a student's ability to develop knowledge and understanding of introductory programming.",An investigation into susceptibility to learn computational thinking in postcompulsory education
"Researchers have hypothesized strong connections between Computational Thinking (CT) practices and STEM learning. However, there is a lack of consensus on what constitutes an adequate set of CT knowledge and skills. In this paper, we present an initial framework for evaluating students? CT learning. We introduce the primary CT concepts and practices that students can learn and apply in a learning by modeling environment. Our overall goal is to develop assessments that study the synergy between STEM and CT concepts in K-12 curricula. Towards this end, we discuss the results from a teacher-led classroom study we conducted on STEM- and CT-learning in our CTSiM environment.",Assessing Students? Computational Thinking in a Learning by Modeling Environment
"The importance of Computational Thinking (CT) as a goal of science education is increasingly acknowledged. This study investigates the effect of computationally-enriched science curriculum on students? development of CT practices. Over the course of one school year, biology lessons featuring the exploration of NetLogo models were implemented in the classrooms of three 9th grade biology teachers at an urban public secondary school in the United States. One-hundred thirty-three biology students took both pre- and post-tests that were administered at the beginning and end of the school year. The students? responses to relevant assessment items were coded and scored using rubrics designed to evaluate their mastery of two learning objectives relating to modeling and simulation practices. The first learning objective was to explore the relationship between a system?s parameters and its behavior. The second learning objective was to identify the simplifications made by a model. Each item?s pre- and post-test scores were compared using a Wilcoxon signed-rank test. Results indicate a statistically significant improvement with respect to the second of the two learning objectives, suggesting that the computationallyenriched biology curriculum enhanced students? ability to identify the simplifications made by a model.",Computational Thinking in the Science Classroom
"Computational thinking (CT) practices, especially abstraction and evaluation, are central to developing expertise in scientific disciplines, and considerable synergies exist between CT and scientific expertise. We present a pedagogical model based on the EquationBased Model (EBM) for developing computerized simulations to describe physical phenomena. Specifically, EBM emphasizes the importance of mathematics as a central tool in science, and aims at fostering students? abstraction and evaluation practices, as part of their modeling processes. We analyzed a final team-project of participants who decided to investigate a specific physical phenomenon in a course based on the EBM approach. Our analysis focused on characterizing the abstraction and evaluation practices, and the role they play in the scientific inquiry. The students applied multiple levels of abstraction, starting with the mathematic-system-level perspective of the conceptual model, and eventually constructed a computerized model of the conceptual model. They applied mathematical tools throughout the process, and verified and validated their models. The graphical simulation that the students built enabled them to investigate and enhance their comprehension of the problem explored. We concluded that this pedagogic approach has the potential to promote meaningful learning and knowledge transfer of computational thinking that were acquired during the course.",Constructing Models in Physics: What Computational Thinking Occurs?
"Computational Thinking involves core computer science concepts and practices that apply to multiple disciplines including science and mathematics. Currently, there is a strong drive toward integrating computer science into the K-12 STEM curricula. Several general-purpose programming environments have been developed to support the learning of CT and computing concepts and practices. Domain-specific modeling languages (DSMLs), on the other hand are designed for specific applications in engineering domains. As compared to general-purpose programming languages, DSMLs provide ease of use and more power to express domain-specific concepts, thus increasing productivity in specific application domains. In this paper, we present design guidelines and a design process for constructing DSMLs to facilitate STEM learning by computational modeling. To illustrate the process, we provide a case study of designing a DSML specifically for the kinematics domain.",Domain Specific Modeling Language Design to support Synergistic Learning of STEM and Computational Thinking
"STEM and computer science with the goal of broadening participation in these male-dominated fields. At the same time, the role of computational thinking (CT) as a tool to improve computer science skills along with STEM learning is becoming increasingly significant. This work seeks to add to this research through an analysis of the role confidence in computational thinking plays in developing STEM engagement and abilities. In the study reported in this paper, 40 high school students (21 girls and 19 boys) completed a Scratch project on modeling inelastic collisions in their Physics class. Pre- and post- surveys were conducted to analyze confidence levels in CT. Results showed a statistically significant difference in confidence levels in four CT dimensions: abstraction, flow of control, decomposition, and conditional logic. The results show that boys were more confident than girls in applying each of these dimensions. However, performance on the modeling assignment showed no statistical difference. We discuss the results and its applications to future work.",The Role Gender Differences in Computational Thinking Confidence Levels Plays in STEM Applications
"How is computational thinking education in Germany? This paper aims to investigate computational thinking education in K12 German secondary schools. The methodology is based on analyzing the competence-based curricula frameworks for Computer Science in four highest populated federal states in Germany. In addition to Computer Science education, we also consider other subjects, e.g., Physics, because computational thinking may also exist in other subjects. Finally, we compare computational thinking education in Germany with international level by taking the ACM recommendation for Computer Science curriculum into account.",K-12 Computational Thinking Education in Germany
"This paper addresses two problems which usually occur in learning Mathematics: first, students who face difficulty understanding and are too shy to participate in discussions and subsequently do not manage to resolve their doubts, and second, dull e-learning websites. The many rules in Mathematics compounds the problem further. We thus aim to address these problems through a gamified e-commerceoriented Mathematics learning practice system, Alzebra, for informal learning. Focusing on principles of Information Systems Analysis and Design, e-commerceoriented computational concepts are embedded in the game to motivate online practice. The system concept, design methodology and user testing outcomes are presented. Significance lies in deriving perception towards gamification and components which users liked or disliked and the efficacy of our hybrid approach in systems development.",Gamified Mathematics practice: Designing with e-commerce and computational concepts
"Cloud computing has been growing rapidly since Amazon brought this idea to the public. Cloud computing is a model for enabling convenient, on-demand network access to a shared pool of configurable computing resources that can be rapidly provisioned and released with minimal management effort or service provider interaction. From the survey conducted by RightScale, 96% of the respondents from different organizations have adopted cloud in various ways. Indeed, cloud computing brings huge advantage to the firm, but moving to the cloud computing is not an easy task. The contribution of this work is to present an overview of cloud computing. Research findings of this paper can be utilized to acquire an understanding of cloud computing and its applications in different sectors.",Cloud Computing Challenges in a General Perspective
Digital IoT technologies present new cyber risk in the supply chain of the digital economy which are often not visible to companies participating in the digital supply chains. This paper discusses how the IoT cyber risks can be visualised in the process of designing business and supply chain strategies. The literature reviewed includes industry and government papers and compares established business and supply chain models with studies on new IoT technologies. This article defines the design parameters for a decision support system for visualising cyber risk from IoT supply chain in the digital economy. The design process is grounded on a case study on two IoT companies. The methods applied in the case study include open and categorical coding and discourse analysis.,Design principles for cyber risk impact assessment from Internet of Things (IoT)
"The new K-12 computing curriculum draft for Taiwan secondary schools was designed to launch in 2018 but the draft only outlined themes and contents for students to learn, without further details on key concepts to be covered in the contents. Therefore, in 2016, a Delphi study was conducted to survey the opinions about what “key learning concepts” should be included for implementation at the secondary level based on the draft. By adopting the Delphi method, different viewpoints from computer scientists and secondary school computing teachers were collected to build consensus of key concepts through a series of convergence. Based on the research results, we found the computer scientists and computing teachers had opposing opinions about whether the secondary school students should learn the advanced concepts. The purpose of this study was to understand the different views on learning concepts of the draft between two groups. The data analyzed in this study were based on the Delphi survey in 2016. This study found computer scientists tended to be more conservative about this issue, therefore they suggested that the advanced and theoretical concepts are not essential at the secondary level, e.g., recursion, searching, sorting, data compression, data conversion, and divide and conquer. This was because the computer scientists considered these concepts as what they had studied in college. Rather, computing teachers knew how to simplify these concepts for teaching at the secondary level. The research findings can serve as useful references for revising and implementing the computing curriculum in the future.",How Computer Scientists and Computing Teachers Think Differently in the Concepts to be Included in a Secondary School Computing Curriculum
Teaching computational thinking can be viewed as cultivating the capacity for logical thinking and problemsolving skills applied to foundational subjects such as mathematics. We report a pilot study on how carefullydesigned mobile app games that gamify elementary algebra learning are used in an annual computer science tournament and also at an annual mathematics festival in Hong Kong. We define mathematics gamification as the process of embedding mathematical concepts and their logical manipulations in a puzzle game-like setting aided by computing technologies. We have evaluated the learning efficacy of our mobile app games to gain numeracy proficiency in an annual computer science tournament for middle school students in Hong Kong.,Teaching Computational Thinking by Gamification of K-12 Mathematics: Mobile App Math Games in Mathematics and Computer Science Tournament
"This paper describes the findings from the Education Development Center’s (EDC) project on Computational Thinking (CT) called “Broadening Participation of Elementary School Teachers and Students in Computer Science through STEM Integration and Statewide Collaboration.” It presents the process used to define the primary job functions and work tasks of a CT Integration Specialist in today’s education settings. Authors describe how the requisite knowledge, skills and practices of the CT integration specialist were assembled and vetted. The article presents ways this profile can be used to guide elementary school teachers in integrating CT into their classrooms and as a framework to guide the development of CT learning activities and assessments, then sets the directions for future work",Profile of a CT Integration Specialist
"To foster new generations becoming creators of technology, CoolThink@JC (“Computational Thinking Education,” n.d.), a four-year project sponsored by Jockey Club Charities Trust in Hong Kong, aims to advocating that “computational thinking is a fundamental skill for everyone” (Wing, 2006, p.33). The project targets to upper primary school students, and in that parent education is one of the components. Particularly, parent education focuses on parent-child relationship in learning computational thinking. Thus, we propose several approaches involving coding hands-on workshop, instructional video learning and unplugged activities to enhance the parent-child mode of learning in a large-scale project involving 32 primary schools in Hong Kong.",Enhancing the Link between Parent-Child in Learning Computational Thinking
"Understanding how teachers promote students’ computational thinking in computer science classes addresses a critical need. We report on how high school teachers implemented a 30-40 hour electronic textile unit in which students designed different wearables with the LilyPad Arduino as part of the Exploring Computer Science curriculum in two classrooms. Our analysis focused on how teachers brought out computational thinking through students’ interactions and projects in three key areas: strategic problem solving, iteration, and interfacing between abstract and tangible computation. In the discussion, we address what we learned about teachers’ pedagogical content knowledge to make computational thinking tangible to students.",Teaching Computational Thinking with Electronic Textiles: High School Teachers’ Contextualizing Strategies in Exploring Computer Science
"This study put four steps, problem decomposition, pattern recognition, abstraction, and algorithm, into practice by integrating the blocky programming language, Scratch, into a mathematics course. The teacher guided the sixthgraders to apply the four steps of computational thinking to writing a blocky program to solve daily-life equality axiom mathematics problems. The results showed that the method was beneficial for promoting the learning effectiveness of mathematics, and also found that there was a significantly positive correlation between the performance of blocky programming and the mathematics post-test. There was no significant correlation between creative tendency and self-efficacy after the experiment. Self-efficacy had a positive correlation to learning motivation both before and after the experiment.",Application of the Four Phases of Computational Thinking and Integration of Blocky Programming in a Sixth-Grade Mathematics Course
