Complaint_ID,Submitted via,Product,Issue,Company Name,Company_response,,
3384392,Web,Debt collection,Attempts to collect debt not owed,TRANSWORLD SYSTEMS INC,Closed with explanation,,
3379500,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,Experian Information Solutions Inc.,Closed with non-monetary relief,,
3417821,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Closed with explanation,,
3494867,Phone,Checking or savings account,Managing an account,FIFTH THIRD FINANCIAL CORPORATION,In progress,,
3433198,Web,Debt collection,Communication tactics,"Diversified Consultants, Inc.",Closed with explanation,,
3146310,Web,Vehicle loan or lease,Problem with a credit reporting company's investigation into an existing problem,HYUNDAI CAPITAL AMERICA,Closed with non-monetary relief,,
3493059,Web,Debt collection,Attempts to collect debt not owed,"EQUIFAX, INC.",In progress,,
3509965,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,CAPITAL ONE FINANCIAL CORPORATION,In progress,,
3501171,Web,Credit card or prepaid card,Problem when making payments,BARCLAYS BANK DELAWARE,In progress,,
3494954,Phone,Debt collection,Written notification about debt,TOYOTA MOTOR CREDIT CORPORATION,Closed with monetary relief,,
3497673,Web,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,JPMORGAN CHASE & CO.,Closed with non-monetary relief,,
3500510,Referral,Debt collection,Attempts to collect debt not owed,BARCLAYS BANK DELAWARE,In progress,,
3508582,Phone,Mortgage,Incorrect information on your report,RENASANT CORPORATION,In progress,,
3416481,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Closed with explanation,,
3446074,Referral,Credit card or prepaid card,Closing your account,PENTAGON FEDERAL CREDIT UNION,Closed with explanation,,
3366475,Web,"Money transfer, virtual currency, or money service",Fraud or scam,"Paypal Holdings, Inc",Closed with explanation,,
3385399,Web,Debt collection,Attempts to collect debt not owed,"HCFS Health Care Financial Services, Inc.",Closed with explanation,,
3444592,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Closed with explanation,,
3379924,Web,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Closed with explanation,,
